No.,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitalty,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type
#756,Shiinotic,Grass,Fairy,4,2,4,1,3,2,5,2,5,3,6,Illuminate,Effect Spore,Rain Dish,,,,Beginner,
#757,Salandit,Poison,Fire,3,1,3,2,5,1,3,2,5,2,4,Corrosion,,Oblivious,,Yes,,Beginner,
#758,Salazzle,Poison,Fire,4,2,4,3,6,2,4,3,6,2,4,Corrosion,,Oblivious,,,,Amateur,F
#759,Stufful,Normal,Fighting,3,2,5,2,4,2,4,2,4,2,4,Fluffy,Klutz,Cute Charm,,Yes,,Beginner,
#760,Bewear,Normal,Fighting,6,3,7,2,4,2,5,2,4,2,4,Fluffy,Klutz,Unnerver,,,,Ace,
#761,Bounsweet,Grass,,3,1,3,1,3,1,3,1,3,1,3,Leaf Guard,Oblivious,Sweet Veil,,Yes,,Starter,F
#762,Steenee,Grass,,4,1,3,2,4,2,4,1,3,2,4,Leaf Guard,Oblivious,Sweet Veil,,Yes,,Beginner,F
#763,Tsareena,Grass,,5,3,7,2,5,3,6,2,4,3,6,Leaf Guard,Queenly Majesty,Sweet Veil,,,,Amateur,F
#764,Comfey,Fairy,,4,2,4,3,6,2,5,2,5,3,6,Flower Veil,Triage,Natural Cure,,,,Starter,
#765,Oranguru,Normal,Psychic,4,2,4,2,4,2,5,2,5,3,6,Inner Focus,Telepathy,Symbiosis,,,,Amateur,
#766,Passimian,Fighting,,5,3,7,2,5,2,5,1,3,2,4,Receiver,,Defiant,,,,Amateur,
#767,Wimpod,Bug,Water,3,1,3,2,5,1,3,1,3,1,3,Wimp Out,,,,Yes,,Starter,
#768,Golisopod,Bug,Water,7,3,7,1,3,3,7,2,4,2,5,Emergency Exit,,,,,,Pro,
#769,Sandygast,Ghost,Ground,3,2,4,1,2,2,5,2,5,2,4,Water Compaction,,Sand Veil,,Yes,,Amateur,
#770,Palossand,Ghost,Ground,4,2,5,1,3,3,6,3,6,2,5,Water Compaction,,Sand Veil,,,,Ace,
#771,Pyukumuku,Water,,4,2,4,1,1,3,7,1,3,3,7,Innards Out,,Unaware,,,,Starter,
#772,Type: Null,Normal,,3,3,6,2,4,3,6,3,6,3,6,Battle Armor,,,,Yes,,Ace,N
#773,Silvally,Normal,,4,3,6,3,6,3,6,3,6,3,6,RKS System,,,,,,Ace,N
#774,Minior,Rock,Flying,4,2,4,2,4,3,6,2,4,3,6,Shields Down,,,,,Yes,Beginner,N
#774,Minior Core,Rock,Flying,4,3,6,3,7,2,4,3,6,2,4,Shields Down,,,,,Yes,Beginner,N
#775,Komala,Normal,,4,3,6,2,4,2,4,2,5,3,6,Comatose,,,,,,Starter,
#776,Turtonator,Fire,Dragon,4,2,5,1,3,3,7,2,5,2,5,Shell Armor,,,,,,Ace,
#777,Togedemaru,Electric,Steel,4,3,6,3,6,2,4,2,4,2,5,Iron Barbs,Lightning Rod,Sturdy,,,,Beginner,
#778,Mimikyu,Ghost,Fairy,4,2,5,3,6,2,5,2,4,3,6,Disguise,,,,,,Amateur,
#779,Bruxish,Water,Psychic,4,3,6,2,5,2,5,2,5,2,5,Dazzling,Strong Jaw,Wonder Skin,,,,Amateur,
#780,Drampa,Normal,Dragon,4,2,5,1,3,2,5,3,7,2,5,Berserk,Sap Sipper,Cloud Nine,,,,Ace,
#781,Dhelmise,Ghost,Grass,5,3,7,1,3,3,6,2,5,2,5,Steelworker,,,,,,Ace,N
#782,Jangmo-o,Dragon,,3,2,4,2,4,2,4,2,4,2,4,Bulletproof,Soundproof,Overcoat,,Yes,,Beginner,
#783,Hakamo-o,Dragon,Fighting,4,2,5,2,4,2,5,2,4,2,5,Bulletproof,Soundproof,Overcoat,,Yes,,Amateur,
#784,Kommo-o,Dragon,Fighting,5,3,6,2,5,3,7,3,6,3,6,Bulletproof,Soundproof,Overcoat,,,,Ace,
#785,Tapu Koko,Electric,Fairy,4,6,6,7,7,5,5,6,6,5,5,Electric Surge,,Telepathy,,,,Pro,N
#786,Tapu Lele,Psychic,Fairy,4,5,5,6,6,5,5,7,7,6,6,Psychic Surge,,Telepathy,,,,Pro,N
#787,Tapu Bulu,Grass,Fairy,4,7,7,5,5,6,6,5,5,6,6,Grassy Surge,,Telepathy,,,,Pro,N
#788,Tapu Fini,Water,Fairy,4,5,5,5,5,6,6,6,6,7,7,Misty Surge,,Telepathy,,,,Pro,N
#789,Cosmog,Psychic,,3,1,3,1,3,1,3,1,3,1,3,Unaware,,,,,,Starter,N
#790,Cosmoem,Psychic,,4,3,3,3,3,7,7,3,3,7,7,Sturdy,,,,,,Amateur,N
#791,Solgaleo,Psychic,Steel,7,7,7,6,6,6,6,5,5,5,5,Full Metal Body,,,,,,Master,N
#792,Lunala,Psychic,Ghost,7,6,6,6,6,5,5,7,7,6,6,Shadow Shield,,,,,,Master,N
#793,Nihilego,Rock,Poison,5,4,4,6,6,4,4,7,7,7,7,Beast Boost,,,,,,Pro,N
#794,Buzzwole,Bug,Fighting,5,7,7,5,5,7,7,4,4,4,4,Beast Boost,,,,,,Pro,N
#795,Pheromosa,Bug,Fighting,4,7,7,8,8,3,3,7,7,3,3,Beast Boost,,,,,,Pro,N
#796,Xurkitree,Electric,,4,5,5,5,5,5,5,9,9,5,5,Beast Boost,,,,,,Pro,N
#797,Celesteela,Steel,Flying,9,6,6,4,4,6,6,6,6,6,6,Beast Boost,,,,,,Pro,N
#798,Kartana,Grass,Steel,4,9,9,6,6,7,7,4,4,3,3,Beast Boost,,,,,,Pro,N
#799,Guzzlord,Dark,Dragon,11,6,6,4,4,4,4,6,6,4,4,Beast Boost,,,,,,Pro,N
#800,Necrozma,Psychic,,4,6,6,5,5,6,6,7,7,5,5,Prism Armor,,,,,Yes,Pro,N
#800,Necrozma Dusk Mane,Psychic,Steel,4,8,8,5,5,7,7,6,6,6,6,Prism Armor,,,,,,Master,N
#800,Necrozma Dark Wings,Psychic,Ghost,4,6,6,5,5,6,6,8,8,7,7,Prism Armor,,,,,,Master,N
#800,Necrozma Ultra Burst,Psychic,Dragon,5,8,8,7,7,6,6,8,8,6,6,Neuro Force,,,,,,Master,N
#801,Magearna,Steel,Fairy,4,6,6,4,4,6,6,7,7,6,6,Soul Heart,,,,,,Pro,N
#802,Marshadow,Fighting,Ghost,4,7,7,7,7,5,5,5,5,5,5,Technician,,,,,,Pro,N
#803,Poipole,Poison,,3,2,5,2,5,2,4,2,5,2,4,Beast Boost,,,,,,Amateur,N
#804,Naganadel,Poison,Dragon,5,5,5,7,7,5,5,7,7,5,5,Beast Boost,,,,,,Pro,N
#805,Stakataka,Rock,Steel,6,7,7,2,2,10,10,4,4,6,6,Beast Boost,,,,,,Pro,N
#806,Blacephalon,Fire,Ghost,4,7,7,6,6,4,4,6,6,5,5,Beast Boost,,,,,,Pro,N
#807,Zeraora,Electric,,4,6,6,7,7,5,5,6,6,5,5,Volt Absorb,,,,,,Pro,N
#808,Meltan,Steel,,3,2,4,1,3,2,4,2,4,1,3,Magnet Pull,,,,,,Amateur,N
#809,Melmetal,Steel,,6,4,8,1,3,4,8,2,5,2,4,Iron Fist,,,,,,Pro,N
#810,Grookey,Grass,,3,2,4,2,4,2,4,1,3,1,3,Overgrow,,Grassy Surge,,Yes,,Starter,
#811,Thwackey,Grass,,3,2,5,2,5,2,5,2,4,2,4,Overgrow,,Grassy Surge,,Yes,,Amateur,
#812,Rillaboom,Grass,,6,3,7,2,5,2,5,2,4,2,5,Overgrow,,Grassy Surge,,,,Ace,
#813,Scorbunny,Fire,,3,2,5,2,4,1,3,1,3,1,3,Blaze,,Libero,,Yes,,Starter,
#814,Raboot,Fire,,4,2,5,2,5,2,4,2,4,2,4,Blaze,,Libero,,Yes,,Amateur,
#815,Cinderace,Fire,,5,3,6,3,7,2,5,2,4,2,5,Blaze,,Libero,,,,Ace,
#816,Sobble,Water,,3,1,3,2,5,1,3,2,5,1,3,Torrent,,Sniper,,Yes,,Beginner,
#817,Drizzile,Water,,4,2,4,2,5,2,4,3,6,2,4,Torrent,,Sniper,,Yes,,Amateur,
#818,Inteleon,Water,,5,2,5,3,7,2,4,3,7,2,4,Torrent,,Sniper,,,,Pro,
#819,Skwovet,Normal,,3,2,4,1,3,2,4,1,3,1,3,Cheek Pouch,,Gluttony,,Yes,,Starter,
#820,Greedent,Normal,,5,3,6,1,3,3,6,2,4,2,5,Cheek Pouch,,Gluttony,,,,Amateur,
#821,Rookidee,Flying,,3,2,4,2,4,1,3,1,3,1,3,Keen Eye,Unnerve,Big Pecks,,Yes,,Beginner,
#822,Corvisquire,Flying,,4,2,4,2,5,2,4,1,3,2,4,Keen Eye,Unnerve,Big Pecks,,Yes,,Amateur,
#823,Corviknight,Flying,Steel,6,2,5,2,4,3,6,2,4,2,5,Pressure,Unnerve,Mirror Armor,,,,Ace,
#824,Blipbug,Bug,,3,1,3,2,4,1,3,1,3,2,4,Swarm,Compound Eyes,Telepathy,,Yes,,Starter,
#825,Dottler,Bug,Psychic,4,1,3,1,2,5,2,4,2,5,3,Swarm,Compound Eyes,Telepathy,,Yes,,Beginner,
#826,Orbeetle,Bug,Psychic,5,2,4,2,4,3,6,2,5,3,7,Swarm,Frisk,Telepathy,,,,Amateur,
#827,Nickit,Dark,,3,1,3,2,4,1,3,2,4,2,4,Run Away,Unburden,Stakeout,,Yes,,Beginner,
#828,Thievul,Dark,,4,2,4,2,5,2,4,2,5,2,5,Run Away,Unburden,Stakeout,,,,Amateur,
#829,Gossifleur,Grass,,3,1,3,1,2,2,4,1,3,2,4,Cotton Down,Regenerator,Effect Spore,,Yes,,Beginner,
#830,Eldegoss,Grass,,4,2,4,2,4,2,5,2,5,3,7,Cotton Down,Regenerator,Effect Spore,,,,Amateur,
#831,Wooloo,Normal,,3,1,3,2,4,2,4,1,3,2,4,Fluffy,Run Away,Bulletproof,,Yes,,Beginner,
#832,Dubwool,Normal,,4,2,5,2,5,3,6,2,4,2,5,Fluffy,Steadfast,Bulletproof,,,,Amateur,
#833,Chewtle,Water,,3,2,4,1,3,2,4,1,3,1,3,Strong Jaw,Shell Armor,Swift Swim,,Yes,,Beginner,
#834,Drednaw,Water,Rock,4,3,6,2,5,2,5,2,5,2,5,Strong Jaw,Shell Armor,Swift Swim,,,,Amateur,
#835,Yamper,Electric,,3,2,4,2,4,2,4,2,4,2,4,Ball Fetch,,Rattled,,Yes,,Beginner,
#836,Boltund,Electric,,4,2,5,3,7,2,4,2,5,2,4,Strong Jaw,,Competitive,,,,Amateur,
#837,Rolycoly,Rock,,3,1,3,1,3,2,4,1,3,2,4,Steam Engine,Heatproof,Flash Fire,,Yes,,Beginner,
#838,Carkol,Rock,Fire,4,2,4,2,4,2,5,2,4,2,5,Steam Engine,Flame Body,Flash Fire,,Yes,,Amateur,
#839,Coalossal,Rock,Fire,6,2,5,1,3,3,7,2,5,2,5,Steam Engine,Flame Body,Flash Fire,,,,Ace,
#840,Applin,Grass,Dragon,3,2,4,2,4,2,4,2,4,2,4,Ripen,Gluttony,Bulletproof,,Yes,,Beginner,
#841,Flapple,Grass,Dragon,4,6,2,5,2,5,3,6,2,4,3,Ripen,Gluttony,Hustle,,,,Ace,
#842,Appletun,Grass,Dragon,5,2,5,1,3,2,5,3,6,2,5,Ripen,Gluttony,Thick Fat,,,,Ace,
#843,Silicobra,Ground,,4,2,4,2,4,2,5,1,3,2,4,Sand Spit,Shed Skin,Sand Veil,,Yes,,Amateur,
#844,Sandaconda,Ground,,6,3,6,2,5,3,7,2,4,2,5,Sand Spit,Shed Skin,Sand Veil,,,,Ace,
#845,Cramorant,Flying,Water,4,2,5,2,5,2,4,2,5,3,6,Gulp Missile,,,,,,Amateur,
#846,Arrokuda,Water,,3,2,4,2,4,1,3,1,3,1,3,Swift Swim,,Propeller Tail,,Yes,,Amateur,
#847,Barraskewda,Water,,4,3,7,3,7,2,4,2,4,2,4,Swift Swim,,Propeller Tail,,,,Amateur,
#848,Toxel,Electric,Poison,3,3,3,3,3,3,3,3,3,3,3,Rattled,Static,Klutz,,Yes,,Amateur,
#849,Toxtricity Amped,Electric,Poison,4,3,6,2,5,2,5,3,6,2,5,Punk Rock,Plus,Technician,,,Yes,Ace,
#849,Toxtricity Low Key,Electric,Poison,4,3,6,2,5,2,5,3,6,2,5,Punk Rock,Plus,Technician,,,Yes,Ace,
#850,Sizzlipede,Fire,Bug,3,2,4,2,4,2,4,2,4,2,4,Flash Fire,White Smoke,Flame Body,,Yes,,Amateur,
#851,Centiskorch,Fire,Bug,5,3,6,2,4,2,4,2,5,2,5,Flash Fire,White Smoke,Flame Body,,,,Ace,
#852,Clobbopus,Fighting,,3,2,4,1,3,2,4,2,4,2,4,Limber,,Technician,,Yes,,Beginner,
#853,Grapploct,Ghost,,4,3,6,1,3,2,5,2,5,2,5,Limber,,Technician,,,,Amateur,
#854,Sinistea,Ghost,,3,2,4,2,4,2,4,2,5,2,4,Weak Armor,,Cursed Body,,Yes,,Beginner,
#855,Polteageist,Psychic,,4,2,4,2,5,2,4,3,7,3,6,Weak Armor,,Cursed Body,,,,Amateur,N
#856,Hatenna,Psychic,,3,1,3,1,3,2,4,2,4,2,4,Healer,Anticipation,Magic Bounce,,Yes,,Beginner,F
#857,Hattrem,Psychic,,4,1,3,2,4,2,4,2,5,2,5,Healer,Anticipation,Magic Bounce,,Yes,,Amateur,F
#858,Hatterene,Psychic,Fairy,5,2,5,1,3,3,6,3,7,3,6,Healer,Anticipation,Magic Bounce,,,,Ace,F
#859,Impidimp,Dark,Fairy,3,2,4,2,4,1,3,2,4,1,3,Prankster,Frisk,Pickpocket,,Yes,,Beginner,M
#860,Morgrem,Dark,Fairy,4,2,4,2,5,2,4,2,5,2,4,Prankster,Frisk,Pickpocket,,Yes,,Amateur,M
#861,Grimmsnarl,Dark,Fairy,5,3,7,2,4,2,4,3,6,2,5,Prankster,Frisk,Pickpocket,,,,Ace,M
#862,Obstagoon,Dark,Normal,5,2,5,3,6,3,6,2,4,2,5,Prankster,Frisk,Pickpocket,,,,Ace,
#863,Perrserker,Steel,,4,3,6,2,4,3,6,2,4,2,4,Battle Armor,Tough Claws,Steely Spirit,,,,Amateur,
#864,Cursola,Ghost,,4,3,6,1,3,2,4,4,8,2,5,Weak Armor,,Perish Body,,,,Ace,
#865,Sirfetch'd,Fighting,,4,3,7,2,4,2,5,2,4,2,5,Steadfast,,Scrappy,,,,Amateur,
#866,Mr. Rime,Ice,Psychic,5,2,5,2,5,2,5,3,6,3,6,Tangled Feet,Screen Cleaner,Ice Body,,,,Amateur,
#867,Runerigus,Ground,Ghost,4,3,6,1,3,4,8,2,4,3,6,Wandering Spirit,,,,,,Ace,
#868,Milcery,Fairy,,3,1,3,1,3,1,3,2,4,2,4,Sweet Veil,,Aroma Veil,,Yes,,Starter,F
#869,Alcremie,Fairy,,4,2,4,2,4,2,5,3,6,3,6,Sweet Veil,,Aroma Veil,,,,Beginner,F
#870,Falinks,Fighting,,5,3,6,2,5,3,6,2,5,2,4,Battle Armor,,Defiant,,,,Amateur,N
#871,Pincurchin,Electric,,4,3,6,1,2,3,7,2,5,2,5,Lightning Rod,,Electric Surge,,,,Amateur,
#872,Snom,Ice,Bug,3,1,3,1,3,1,3,2,4,1,3,Shield Dust,,Ice Scales,,Yes,,Starter,
#873,Frosmoth,Ice,Bug,4,2,4,2,4,2,4,3,7,2,5,Shield Dust,,Ice Scales,,,,Amateur,
#874,Stonjourner,Rock,,6,3,7,2,5,3,7,1,3,1,3,Power Spot,,,,,,Amateur,
#875,Eiscue,Ice,,6,2,5,2,4,3,6,2,4,2,5,Ice Face,,,,,Yes,Amateur,
#876,Indeedee,Psychic,Normal,4,2,4,3,6,2,4,3,6,3,6,Inner Focus,Synchronize,Psychic Surge,,,,Starter,
#877,Morpeko,Electric,Dark,4,3,6,3,6,2,4,2,5,2,4,Hunger Switch,,,,,Yes,Beginner,
#878,Cufant,Steel,,3,2,5,1,3,2,4,1,3,2,4,Sheer Force,,Heavy Metal,,Yes,,Beginner,
#879,Copperajah,Steel,,6,3,7,1,3,2,4,2,5,2,4,Sheer Force,,Heavy Metal,,,,Amateur,
#880,Dracozolt,Electric,Dragon,4,3,6,2,5,2,5,2,5,2,5,Volt Absorb,Hustle,Sand Rush,,,,Ace,N
#881,Arctozolt,Electric,Ice,5,3,6,2,4,2,5,2,5,2,5,Volt Absorb,Static,Slush Rush,,,,Ace,N
#882,Dracovish,Water,Dragon,5,2,5,2,5,3,6,2,5,2,5,Water Absorb,Strong Jaw,Sand Rush,,,,Ace,N
#883,Arctovish,Water,Ice,4,2,5,2,4,3,6,2,5,2,5,Water Absorb,Ice Body,Slush Rush,,,,Ace,N
#884,Duraludon,Steel,Dragon,4,3,6,2,5,3,6,3,7,2,4,Light Metal,Heavy Metal,Stalwart,,,,Ace,
#885,Dreepy,Dragon,Ghost,3,2,4,2,5,1,3,1,3,1,3,Clear Body,Infiltrator,Cursed Body,,Yes,,Starter,
#886,Drakloak,Dragon,Ghost,4,2,5,3,6,2,4,2,4,2,4,Clear Body,Infiltrator,Cursed Body,,Yes,,Ace,
#887,Dragapult,Dragon,Ghost,5,3,7,3,7,2,5,3,6,2,5,Clear Body,Infiltrator,Cursed Body,,,,Pro,
#888,Zacian,Fairy,,5,7,7,7,7,6,6,5,5,6,6,Intrepid Sword,,,,,Yes,Master,N
#888,Form Zacian,Fairy,Steel,5,9,9,8,8,6,6,5,5,6,6,Intrepid Sword,,,,,,Master,N
#889,Zamazenta,Fighting,,5,7,7,7,7,6,6,5,5,6,6,Dauntless Shield,,,,,Yes,Master,N
#889,Form Zamazenta,Fighting,Steel,5,7,7,7,7,8,8,5,5,8,8,Dauntless Shield,,,,,,Master,N
#890,Eternatus,Poison,Dragon,10,5,5,7,7,6,6,8,8,6,6,Pressure,,,,,,Master,N
#D001,Delta Bulbasaur,Fairy,Psychic,3,2,4,2,4,2,4,2,4,2,4,Psycho Call,,Regenerator,,Yes,,Beginner,
#D002,Delta Ivysaur,Fairy,Psychic,4,2,4,2,4,2,4,2,5,2,5,Psycho Call,,Regenerator,,Yes,,Amateur,
#D003,Delta Venusaur,Fairy,Psychic,5,2,5,2,5,2,5,3,6,3,6,Psycho Call,,Regenerator,,,Yes,Ace,
#D004,Delta Charmander,Ghost,Dragon,3,2,4,2,4,1,3,2,4,2,4,Spirit Call,,Dark Aura,,Yes,,Beginner,
#D005,Delta Charmeleon,Ghost,Dragon,4,2,4,2,5,2,4,2,5,2,4,Spirit Call,,Dark Aura,,Yes,,Amateur,
#D006,Delta Charizard,Ghost,Dragon,5,2,5,3,6,2,5,3,6,2,5,Spirit Call,,Dark Aura,,,Yes,Ace,
#D007,Delta Squirtle,Dark,Fighting,3,2,4,1,3,2,4,2,4,2,4,Shadow Call,,Shadow Dance,,Yes,,Beginner,
#D008,Delta Wartortle,Dark,Fighting,4,2,4,2,4,2,5,2,4,2,5,Shadow Call,,Shadow Dance,,Yes,,Amateur,
#D009,Delta Blastoise,Dark,Fighting,5,2,5,2,5,3,6,2,5,3,6,Shadow Call,,Shadow Dance,,,Yes,Ace,
#D010,Delta Pawniard,Flying,Fighting,3,2,5,2,4,2,5,1,3,1,3,Defiant,Frisk,Wind Force,,Yes,,Amateur,
#D011,Delta Bisharp,Flying,Fighting,4,3,7,2,5,3,6,2,4,2,5,Defiant,Frisk,Wind Force,,,Yes,Ace,
#D012,Delta Ralts,Electric,Ice,3,1,3,1,3,1,3,2,4,1,3,Lightning Rod,Clear Body,Snow Cloak,,Yes,,Beginner,
#D013,Delta Kirlia,Electric,Ice,4,1,3,2,4,1,3,2,4,2,4,Lightning Rod,Clear Body,Snow Cloak,,Yes,,Amateur,
#D014,Delta Gardevoir,Electric,Ice,5,2,4,2,5,2,4,3,7,3,6,Lightning Rod,Clear Body,Snow Cloak,,,Yes,Ace,
#D015,Delta Gallade,Electric,Ice,5,3,7,2,5,2,4,2,4,3,6,Volt Absorb,,Ice Body,,,Yes,Ace,M
#D016,Delta Sunkern,Fire,Poison,3,1,3,1,3,1,3,1,3,1,3,Flame Body,Analytic,Poison Point,,Yes,,Beginner,
#D017,Delta Sunflora,Fire,Poison,4,2,5,1,3,2,4,3,6,2,5,Flame Body,Analytic,Poison Point,,,Yes,Amateur,
#D018,Delta Bergmite,Rock,,3,2,4,1,3,2,5,1,3,1,3,Solid Rock,Battle Armor,Sand Stream,,Yes,,Beginner,
#D019,Delta Avalugg,Rock,Dragon,4,3,6,1,3,4,9,1,3,1,3,Solid Rock,Battle Armor,Sand Stream,,,,Ace,
#D020,Delta Scyther,Ice,Fighting,3,3,6,3,6,2,5,2,4,2,5,Hustle,Ice Cleats,Super Luck,,Yes,,Amateur,
#D021,Delta Scizor,Ice,Fighting,4,3,7,2,4,3,6,2,4,2,4,Tough Claws,Ice Cleats,Super Luck,,,Yes,Ace,
#D022,Delta Scraggy,Grass,,3,2,5,2,4,2,5,1,3,2,5,Rough Skin,Rivalry,Anger Point,,Yes,,Beginner,
#D023,Delta Scrafty,Grass,,4,2,5,2,4,3,6,2,4,3,6,Rough Skin,Rivalry,Anger Point,,,,Amateur,
#D024,Delta Combee,Steel,Fire,3,1,3,2,5,1,3,1,3,1,3,Levitate,,Speed Boost,,Yes,,Starter,
#D025,Delta Vespiquen,Steel,Fire,4,2,5,2,4,3,6,2,5,3,6,Levitate,,Speed Boost,,,,Ace,F
#D026,Delta Koffing,Electric,Flying,3,2,4,1,3,3,6,2,4,2,4,Cloud Nine,Amplifier,Volt Absorb,,Yes,,Beginner,
#D027,Delta Weezing,Electric,Flying,4,2,5,2,4,3,7,2,5,2,5,Cloud Nine,Amplifier,Volt Absorb,,,,Amateur,
#D028,Delta Purrloin,Ghost,Fairy,3,2,4,2,4,1,3,2,4,1,3,Illusion,Unnerve,Lightning,,Yes,,Beginner,
#D029,Delta Liepard,Ghost,Fairy,4,2,5,2,6,2,4,2,5,2,4,Illusion,Unnerve,Lightning,,,,Amateur,
#D030,Delta Phantump,Ghost,Grass,3,2,5,1,3,2,4,2,4,2,4,Snow Warning,Overcoat,Snow Cloak,,Yes,,Beginner,
#D031,Delta Trevenant,Ghost,Grass,5,3,6,2,4,2,5,2,4,2,5,Snow Warning,Overcoat,Snow Cloak,,,,Pro,
#D032,Delta Snorunt,Fire,,3,2,4,2,4,2,4,2,4,2,4,White Smoke,,Flash Fire,,Yes,,Beginner,
#D033,Delta Glalie,Fire,Rock,4,2,5,2,5,2,5,2,5,2,5,Rock Head,,Flash Fire,,,Yes,Amateur,
#D034,Delta Froslass,Fire,,4,2,5,3,6,2,5,2,5,2,5,Competitive,,Flash Fire,,,Yes,Ace,F
#D035,Delta Shinx,Steel,Poison,3,2,4,2,4,1,3,1,3,1,3,Poison Touch,Vampiric,Venomous,,Yes,,Beginner,
#D036,Delta Luxio,Steel,Poison,4,2,5,2,4,2,4,2,4,2,4,Poison Touch,Vampiric,Venomous,,Yes,,Amateur,
#D037,Delta Luxray,Steel,Poison,5,3,7,2,5,2,5,3,6,2,5,Poison Touch,Vampiric,Venomous,,,,Ace,
#D038,Delta Noibat,Grass,Steel,3,1,3,2,4,1,3,2,4,1,3,Chlorophyll,Solar Power,Flower Gift,,Yes,,Amateur,
#D039,Delta Noivern,Grass,Steel,4,2,5,3,7,2,5,3,6,2,5,Chlorophyll,Solar Power,Flower Gift,,,,Pro,
#D040,Delta Budew,Dark,Fairy,3,1,3,2,4,1,3,2,4,2,5,Shadow Dance,Heliophobia,Limber,,Yes,,Starter,
#D041,Delta Roselia,Dark,Fairy,4,2,4,2,4,2,4,3,6,2,5,Shadow Dance,Heliophobia,Limber,,Yes,,Beginner,
#D042,Delta Roserade,Dark,Fairy,5,2,5,2,5,2,4,3,7,3,6,Shadow Dance,Heliophobia,Limber,,,,Amateur,
#D043,Delta Drifloon,Fire,Flying,3,2,4,2,5,1,3,2,4,2,4,Flash Fire,Vital Spirit,No Guard,,Yes,,Amateur,
#D044,Delta Drifblim,Fire,Flying,7,2,5,2,5,1,3,2,5,2,4,Flash Fire,Vital Spirit,No Guard,,,,Ace,
#D045,Delta Grimer,Ground,,3,2,5,1,3,2,4,1,3,2,4,Sap Sipper,,Water Absorb,,Yes,,Beginner,
#D046,Delta Muk,Ground,,4,3,6,2,4,2,5,2,4,3,6,Sap Sipper,Regurgitate,Water Absorb,,,,Amateur,
#D047,Delta Wooper,Grass,Fire,3,2,4,1,2,2,4,1,3,1,3,Pickpocket,Flash Fire,Harvest,,Yes,,Beginner,
#D048,Delta Quagsire,Grass,Fire,4,2,5,1,3,3,6,2,4,2,4,Pickpocket,Flash Fire,Harvest,,,,Amateur,
#D049,Delta Munchlax,Grass,,5,2,5,1,2,1,3,1,3,2,5,Overcoat,Thick Fat,Adaptability,,Yes,,Beginner,
#D050,Delta Snorlax,Grass,,8,3,6,1,3,2,4,2,4,3,6,Overcoat,Thick Fat,Adaptability,,,,Amateur,
#D051,Delta Misdreavus,Ice,Fairy,3,2,4,2,5,2,4,2,5,2,5,Magic Guard,,Winter Joy,,Yes,,Amateur,
#D052,Delta Mismagius,Ice,Fairy,4,2,4,3,6,2,4,3,6,3,6,Magic Guard,,Winter Joy,,,,Ace,
#D053,Delta Cyndaquil,Electric,,3,2,4,2,4,1,3,2,4,2,4,Static,,Lightning Rod,,Yes,,Starter,
#D054,Delta Quilava,Electric,Steel,4,2,4,2,5,2,4,2,5,2,4,Static,,Lightning Rod,,Yes,,Amateur,
#D055,Delta Typhlosion,Electric,Steel,5,2,5,3,6,2,5,3,6,2,5,Motor Drive,,Lightning Rod,,,Yes,Ace,
#D056,Delta Treecko,Normal,Fighting,3,2,4,2,5,1,3,2,4,2,4,Inner Focus,,Iron Fist,,Yes,,Beginner,
#D057,Delta Grovyle,Normal,Fighting,4,2,4,3,6,2,4,2,5,2,4,Inner Focus,,Iron Fist,,Yes,,Amateur,
#D058,Delta Sceptile,Dragon,Fighting,5,2,5,3,7,2,4,3,6,2,5,Inner Focus,,Iron Fist,,,,Ace,
#D059,Delta Torchic,Psychic,,3,2,4,2,4,1,3,2,5,2,4,Keen Eye,,Rivalry,,Yes,,Starter,
#D060,Delta Combusken,Psychic,,4,2,5,2,4,2,4,2,5,2,4,Keen Eye,,Rivalry,,Yes,,Amateur,
#D061,Delta Blaziken,Psychic,Flying,5,3,7,2,5,2,5,3,6,2,5,Keen Eye,,Gale Wings,,,,Ace,
#D062,Delta Turtwig,Water,Ground,3,2,4,1,3,2,4,2,4,2,4,Water Absorb,,Swift Swim,,Yes,,Starter,
#D063,Delta Grotle,Water,Ground,4,2,5,1,3,2,5,2,4,2,4,Water Absorb,,Swift Swim,,Yes,,Amateur,
#D064,Delta Torterra,Water,Ground,5,3,6,2,4,3,6,2,5,2,5,Water Absorb,,Swift Swim,,,,Ace,
#D065,Delta Snivy,Water,,3,2,4,2,4,2,4,2,4,2,4,Multiscale,,Hydration,,Yes,,Beginner,
#D066,Delta Servine,Water,,4,2,4,2,5,2,5,2,4,2,5,Multiscale,,Hydration,,Yes,,Amateur,
#D067,Delta Serperior,Water,Dragon,5,2,5,3,6,3,6,2,5,3,6,Multiscale,,Drizzle,,,,Ace,
#D068,Delta Froakie,Grass,,3,2,4,2,5,1,3,2,4,1,3,Steadfast,,Prankster,,Yes,,Beginner,
#D069,Delta Frogadier,Grass,,4,2,4,3,6,2,4,2,5,2,4,Steadfast,,Prankster,,Yes,,Amateur,
#D070,Delta Greninja,Grass,Fire,5,3,6,3,7,2,4,3,6,2,5,Steadfast,,Prankster,,,,Ace,
